name,firm,cik,status
Crake Asset Management,Crake Asset Management,0001789082,resolved
Cryder Capital Partners,Cryder Capital Partners,0001633969,resolved
DARLINGTON PARTNERS CAPITAL MANAGEMENT,DARLINGTON PARTNERS CAPITAL MANAGEMENT,0001854440,resolved
DENDUR CAPITAL,DENDUR CAPITAL,0001782124,resolved
DSM Capital Partners,DSM Capital Partners,0001214639,resolved
Daily Journal Corp,Daily Journal Corp,0000783412,resolved
Dan Sundheim,D1 Capital Partners,0001747057,resolved
Daniel Loeb,Third Point,0001040273,resolved
Darsana Capital Partners,Darsana Capital Partners,0001609098,resolved
Darwin Global Management,Darwin Global Management,0001839209,resolved
David Abrams,Abrams Capital Management,0001165407,resolved
David Einhorn,Greenlight Capital,0001079114,resolved
David Herro,Harris Associates (Oakmark International),,no_13f
David Nierenberg,D3 Family Funds,,no_13f
David Rolfe,Wedgewood Partners,0000859804,resolved
David Tepper,Appaloosa Management,0001006438,resolved
Davis Asset Management,Davis Asset Management,0001945894,resolved
Diamond Hill Capital,Diamond Hill Capital Management,0001217541,resolved
Discerene Group,Discerene Group,0001632958,resolved
Dodge & Cox,Dodge & Cox,0000200217,resolved
Donald Smith & Co,Donald Smith & Co,0000814375,resolved
Dorsal Capital Management,Dorsal Capital Management,0001547007,resolved
Dorsey Asset Management,Dorsey Asset Management,0001671657,resolved
Dragoneer Investment Group,Dragoneer Investment Group,0001602189,resolved
Duan Yongping,H&H International Investment,0001759760,resolved
Dundas Partners,Dundas Partners,0001742418,resolved
EMINENCE CAPITAL,EMINENCE CAPITAL,0001107310,resolved
Eaton Vance Health Sciences,Eaton Vance Management,0001076598,resolved
EcoR1 Capital,EcoR1 Capital,0001587114,resolved
Edgepoint Canadian Portfolio,EdgePoint Investment Group,0001481669,resolved
Egerton Capital (UK),Egerton Capital (UK),0001581811,resolved
Electron Capital Partners,Electron Capital Partners,0001586986,resolved
Elfun Trusts,GE Asset Management,0001121163,resolved
Encompass Capital Advisors,Encompass Capital Advisors,0001541901,resolved
Evergreen Quality Fund GP,Evergreen Quality Fund GP,0002016939,resolved
FERNBRIDGE CAPITAL MANAGEMENT,FERNBRIDGE CAPITAL MANAGEMENT,0001827734,resolved
Fairholme Focused Income Fund,Fairholme Capital Management,,no_13f
Fairholme Fund,Fairholme Capital Management,,no_13f
Fairmount Funds Management,Fairmount Funds Management,0001802528,resolved
FengHe Fund Management Pte.,FengHe Fund Management Pte.,0001660531,resolved
Finepoint Capital,Finepoint Capital,0001608126,resolved
First Beijing Investment,First Beijing Investment,0001701717,resolved
First Eagle Investment,First Eagle Investment Management,0001325447,resolved
First Light Asset Management,First Light Asset Management,0001600004,resolved
First Pacific Advisors,First Pacific Advisors,0001377581,resolved
Focused Investors,Focused Investors,0001426398,resolved
Forest Avenue Capital Management,Forest Avenue Capital Management,0001944889,resolved
Foxhaven Asset Management,Foxhaven Asset Management,0001590531,resolved
Francis Chou,Chou Associates Management,0001389402,resolved
Francisco Garcia Parames,Cobas Asset Management,,no_13f
Frank Sands,Sands Capital Management,0001020066,resolved
François Rochon,Giverny Capital,0001641864,resolved
Frazier Life Sciences Management,Frazier Life Sciences Management,0001892134,resolved
Fundsmith,Fundsmith,0001569205,resolved
GENERAL ATLANTIC,GENERAL ATLANTIC,0001017645,resolved
GMT CAPITAL CORP,GMT CAPITAL CORP,0001106191,resolved
GOLDENTREE ASSET MANAGEMENT,GOLDENTREE ASSET MANAGEMENT,0001278951,resolved
GOODNOW INVESTMENT GROUP,GOODNOW INVESTMENT GROUP,0001362255,resolved
GREENHAVEN ASSOCIATES INC,GREENHAVEN ASSOCIATES INC,0000846222,resolved
GREENOAKS CAPITAL PARTNERS,GREENOAKS CAPITAL PARTNERS,0001840735,resolved
GRS Advisors,GRS Advisors,0001544554,resolved
GUARDCAP ASSET MANAGEMENT,GUARDCAP ASSET MANAGEMENT,0001732008,resolved
"Gates Capital Management, Inc.","Gates Capital Management, Inc.",0001312908,resolved
George Soros,Soros Fund Management,0001029160,resolved
Glendon Capital Management,Glendon Capital Management,0001604350,resolved
Glenn Greenberg,Brave Warrior Advisors,0001553733,resolved
Gobi Capital,Gobi Capital,0001698060,resolved
Goehring & Rozencwajg Associates,Goehring & Rozencwajg Associates,0001863154,resolved
Great Hill Capital,Great Hill Capital,0002096165,resolved
Greenbrier Partners Capital Management,Greenbrier Partners Capital Management,0001532262,resolved
Greenhouse Funds LLLP,Greenhouse Funds LLLP,0001626220,resolved
Greenvale Capital,Greenvale Capital,0001768041,resolved
Greenwoods Asset Management Hong Kong,Greenwoods Asset Management Hong Kong,0001848138,resolved
Guy Spier,Aquamarine Capital Management,0001404599,resolved
HAWK RIDGE CAPITAL MANAGEMENT,HAWK RIDGE CAPITAL MANAGEMENT,0001609074,resolved
HHLR ADVISORS,HHLR ADVISORS,0001762304,resolved
HMI Capital Management,HMI Capital Management,0001469026,resolved
HSG Holding,HSG Holding,0001470766,resolved
Hamlin Capital Management,Hamlin Capital Management,0001277403,resolved
Harbor Capital Appreciation,Harbor Capital Advisors,0001039128,resolved
Harris Associates,Harris Associates,0000813917,resolved
Harvey Partners,Harvey Partners,0001406484,resolved
Heard Capital,Heard Capital,0001796409,resolved
Helikon Investments,Helikon Investments,0001839497,resolved
Hennessy Japan Fund,Hennessy Advisors,0001145255,resolved
Hennessy Japan Small Cap,Hennessy Advisors,,no_13f
Henry Ellenbogen,Durable Capital Partners,0001798849,resolved
Hill City Capital,Hill City Capital,0001837343,resolved
HoldCo Asset Management,HoldCo Asset Management,0001724246,resolved
Hook Mill Capital Partners,Hook Mill Capital Partners,0001943395,resolved
Hotchkis & Wiley,Hotchkis & Wiley Capital Management,0001164833,resolved
Howard Marks,Oaktree Capital Management,0000949509,resolved
Hudson Way Capital Management,Hudson Way Capital Management,0001697597,resolved
Hyperion Asset Management,Hyperion Asset Management,0001619844,resolved
Independent Franchise Partners,Independent Franchise Partners,0001483866,resolved
Insight Holdings Group,Insight Holdings Group,0001305473,resolved
Intermede Investment Partners,Intermede Investment Partners,0001664713,resolved
Invesco,Invesco,0000020430,resolved
Investure,Investure,0001476993,resolved
Jana Partners,Jana Partners,0001159159,resolved
Jeff Auxier,Auxier Asset Management,0001105863,resolved
Jeff Smith,Starboard Value,0001517137,resolved
Jefferies Group,Jefferies Financial Group,0000096223,resolved
Jeremy Grantham,Grantham Mayo Van Otterloo (GMO),0000772129,resolved
Jericho Capital Asset Management,Jericho Capital Asset Management,0001525234,resolved
Jerome Dodson,Parnassus Investments,0000948669,resolved
Joel Greenblatt,Gotham Asset Management,0001279148,resolved
John Hussman,Hussman Strategic Advisors,0001179475,resolved
John Paulson,Paulson & Co,0001035674,resolved
John Rogers,Ariel Investments,0000936753,resolved
KAYNE ANDERSON CAPITAL ADVISORS,KAYNE ANDERSON CAPITAL ADVISORS,0000949615,resolved
KENSICO CAPITAL MANAGEMENT CORP,KENSICO CAPITAL MANAGEMENT CORP,0001113000,resolved
KEYWISE CAPITAL MANAGEMENT (HK),KEYWISE CAPITAL MANAGEMENT (HK),0001474069,resolved
KRYGER CAPITAL,KRYGER CAPITAL,0001911807,resolved
Kahn Brothers,Kahn Brothers Group,0001039565,resolved
Keeley-Teton Advisors,Keeley-Teton Advisors,0001700530,resolved
Ken Fisher,Fisher Asset Management,0000850529,resolved
Kensington Asset Management,Kensington Asset Management,0001979884,resolved
Kinetic Partners Management,Kinetic Partners Management,0001911448,resolved
Knighthead Capital Management,Knighthead Capital Management,0001512397,resolved
Kohlberg Kravis Roberts & Co.,Kohlberg Kravis Roberts & Co.,0001399770,resolved
Kontiki Capital Management (HK),Kontiki Capital Management (HK),0001713390,resolved
Kopernik Global Investors,Kopernik Global Investors,0001599814,resolved
Kynam Capital Management,Kynam Capital Management,0001907884,resolved
L1 Capital International Pty,L1 Capital International Pty,0002009023,resolved
L1 Capital Pty,L1 Capital Pty,0001817646,resolved
LANSDOWNE PARTNERS (UK),LANSDOWNE PARTNERS (UK),0001608485,resolved
LASALLE INVESTMENT MANAGEMENT SECURITIES,LASALLE INVESTMENT MANAGEMENT SECURITIES,0001085601,resolved
LGT CAPITAL PARTNERS,LGT CAPITAL PARTNERS,0001641992,resolved
LIGHTSPEED MANAGEMENT COMPANY,LIGHTSPEED MANAGEMENT COMPANY,0001702122,resolved
LOCUST WOOD CAPITAL ADVISERS,LOCUST WOOD CAPITAL ADVISERS,0001349434,resolved
LYRICAL ASSET MANAGEMENT,LYRICAL ASSET MANAGEMENT,0001542302,resolved
Larry Robbins,Glenview Capital Management,0001138995,resolved
Lee Ainslie,Maverick Capital,0000934639,resolved
Leith Wheeler Canadian Equity,Leith Wheeler Investment Counsel,0001353651,resolved
Leon Cooperman,Omega Advisors,0000898202,resolved
Li Lu,Himalaya Capital Management,0001709323,resolved
Lindsell Train,Lindsell Train,0001484150,resolved
Lingotto Investment Management,Lingotto Investment Management,0001732768,resolved
Linonia Partnership,Linonia Partnership,0001985479,resolved
Longview Partners (Guernsey),Longview Partners (Guernsey),0001426092,resolved
Louis Moore Bacon,Moore Capital Management,0000924178,resolved
Luxor Capital Group,Luxor Capital Group,0001316580,resolved
M.D. Sass,M.D. Sass,0000922940,resolved
MADRONE ADVISORS,MADRONE ADVISORS,0001964563,resolved
MAR VISTA INVESTMENT PARTNERS,MAR VISTA INVESTMENT PARTNERS,0001419999,resolved
MARK ASSET MANAGEMENT,MARK ASSET MANAGEMENT,0000860176,resolved
MARSHFIELD ASSOCIATES,MARSHFIELD ASSOCIATES,0000914976,resolved
MASON STREET ADVISORS,MASON STREET ADVISORS,0001167711,resolved
MCDONALD CAPITAL INVESTORS INC/CA,MCDONALD CAPITAL INVESTORS INC/CA,0001033225,resolved
MFF Capital Investments,MFF Capital Investments,0002104888,resolved
MHR FUND MANAGEMENT,MHR FUND MANAGEMENT,0001277742,resolved
MKP Capital Management,MKP Capital Management,0001534949,resolved
MS Global Franchise Portfolio,Morgan Stanley Investment Management,,no_13f
Madison Avenue Partners,Madison Avenue Partners,0001801265,resolved
Main Management Fund Advisors,Main Management Fund Advisors,0001862787,resolved
Mairs and Power,Mairs and Power,0001070134,resolved
Maj Invest Holding A/S,Maj Invest Holding A/S,0001730525,resolved
Manning & Napier,Manning & Napier Advisors,0000062039,resolved
Maple Rock Capital Partners Inc.,Maple Rock Capital Partners Inc.,0001658363,resolved
