name,firm,cik,status
D.E. Shaw,D.E. Shaw & Co,0001009207,resolved
Deerfield Management,Deerfield Management Company,0001009258,resolved
Fuller & Thaler Asset Management,Fuller & Thaler Asset Management,0001082327,resolved
Ken Griffin,Citadel Advisors,0001423053,resolved
Millennium Management,Millennium Management,0001273087,resolved
Rajiv Jain,GQG Partners,0001697233,resolved
Suvretta Capital Management,Suvretta Capital Management,0001569064,resolved
Walter Scott & Partners,Walter Scott & Partners,,no_13f
WCM Investment Management,WCM Investment Management,0001061186,resolved
Woodline Partners,Woodline Partners,0001784547,resolved
Charles Schwab Investment Management,Charles Schwab Investment Management,0000884546,resolved
Dimensional Fund Advisors,Dimensional Fund Advisors,0000354204,resolved
Fidelity,FMR LLC,0000315066,resolved
Geode Capital Management,Geode Capital Management,0001214717,resolved
Northern Trust,Northern Trust Corp,0000073124,resolved
State Street,State Street Corp,0000093751,resolved
Wellington Management,Wellington Management,0000902219,resolved
